               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12088,            0.098577,            0.044858,            0.012933,              0.1181,           0.0069739,           0.0016051,             0.10572,            0.095409,            0.042574,            0.070682,           0.0032576,           0.0032576
                   1,              0.1032,             0.11988,            0.038107,             0.27719,             0.13755,            0.023945,           0.0073769,            0.094093,             0.10754,            0.038263,            0.040464,           0.0063734,           0.0063734
                   2,            0.093873,             0.13001,             0.03405,             0.32046,             0.17303,            0.042186,            0.011945,            0.096547,             0.10923,            0.030668,            0.010027,           0.0092692,           0.0092692
                   3,             0.08953,             0.13175,             0.02937,             0.41434,             0.21966,             0.10312,            0.035486,            0.083871,             0.11467,            0.023568,             0.00901,             0.00901,             0.00901
                   4,            0.087203,             0.13491,            0.025738,             0.42874,             0.23154,             0.10577,            0.038349,            0.080018,             0.11194,            0.020737,             0.00901,             0.00901,             0.00901
                   5,            0.085056,             0.13647,             0.02203,             0.52593,             0.21358,             0.15292,            0.058662,            0.078355,             0.11236,            0.020841,             0.00868,             0.00868,             0.00868
                   6,             0.08433,             0.13341,            0.020719,             0.54413,             0.26064,             0.16343,            0.063546,            0.077401,             0.10945,            0.017331,             0.00835,             0.00835,             0.00835
                   7,             0.08173,             0.13635,            0.018428,             0.53614,             0.25421,             0.19028,            0.068865,            0.080154,             0.10976,            0.015322,             0.00802,             0.00802,             0.00802
                   8,            0.081135,             0.13568,            0.018457,             0.60355,             0.26765,             0.23334,             0.10073,            0.073758,             0.11202,            0.016607,             0.00769,             0.00769,             0.00769
                   9,            0.081116,             0.13561,            0.017853,             0.54505,             0.32184,               0.278,             0.12875,            0.072466,             0.11262,             0.01472,             0.00736,             0.00736,             0.00736
                  10,            0.079771,             0.13991,            0.016736,             0.55071,             0.32092,             0.27684,             0.12427,            0.073524,             0.11171,            0.014252,             0.00703,             0.00703,             0.00703
                  11,              0.0795,             0.13784,            0.016825,             0.56261,             0.35022,             0.30148,              0.1373,            0.071793,             0.10875,            0.013958,              0.0067,              0.0067,              0.0067
                  12,            0.078468,             0.13283,            0.016235,             0.50081,             0.30976,             0.28197,              0.1302,            0.071428,             0.10896,            0.013825,             0.00637,             0.00637,             0.00637
                  13,            0.078046,             0.13753,            0.015366,              0.5774,             0.34192,             0.31366,             0.13819,            0.073982,             0.11021,            0.014296,             0.00604,             0.00604,             0.00604
                  14,            0.078954,             0.13427,            0.015996,             0.53231,             0.35582,             0.32676,             0.14117,            0.072992,             0.10902,            0.013425,             0.00571,             0.00571,             0.00571
                  15,            0.077392,             0.13613,            0.014742,             0.56654,             0.34018,             0.28956,              0.1424,            0.071916,             0.11086,            0.014483,             0.00538,             0.00538,             0.00538
                  16,            0.076393,             0.13072,            0.015168,             0.57353,             0.32993,             0.31189,              0.1548,            0.070977,               0.108,            0.013723,             0.00505,             0.00505,             0.00505
                  17,            0.076326,             0.13117,            0.015099,             0.60323,             0.33606,             0.32897,             0.17102,            0.069973,              0.1091,            0.013017,             0.00472,             0.00472,             0.00472
                  18,            0.076752,             0.13007,            0.014804,              0.5953,             0.33444,             0.30811,             0.14873,            0.071642,              0.1096,            0.013652,             0.00439,             0.00439,             0.00439
                  19,            0.076246,             0.13388,            0.014581,             0.64656,             0.33111,             0.34447,             0.15091,            0.072062,              0.1103,            0.013301,             0.00406,             0.00406,             0.00406
                  20,            0.075823,             0.13463,            0.014265,             0.58296,             0.34847,             0.33866,             0.17236,            0.069977,             0.10996,            0.013104,             0.00373,             0.00373,             0.00373
                  21,            0.075721,             0.13163,            0.014221,             0.57928,             0.30752,              0.3212,             0.15808,            0.070099,             0.11267,            0.012689,              0.0034,              0.0034,              0.0034
                  22,            0.075877,             0.13275,            0.013624,             0.53886,              0.3795,             0.34362,              0.1668,            0.069296,             0.11081,            0.012449,             0.00307,             0.00307,             0.00307
                  23,            0.074353,             0.13538,            0.013081,              0.6154,             0.33067,             0.36275,             0.18246,            0.069208,             0.10896,            0.012331,             0.00274,             0.00274,             0.00274
                  24,            0.074474,             0.12859,            0.012892,             0.58731,             0.36109,             0.36508,             0.17983,            0.069302,              0.1103,            0.012025,             0.00241,             0.00241,             0.00241
                  25,            0.072968,             0.12717,             0.01281,             0.56534,             0.37983,             0.36188,             0.17862,            0.068952,             0.11028,            0.011973,             0.00208,             0.00208,             0.00208
                  26,            0.072823,             0.12993,            0.012498,             0.56515,             0.39783,             0.35182,             0.16988,            0.069879,              0.1141,            0.012312,             0.00175,             0.00175,             0.00175
                  27,             0.07296,             0.12738,            0.013146,             0.57962,             0.36046,             0.36957,              0.1832,            0.068775,             0.11068,            0.012211,             0.00142,             0.00142,             0.00142
                  28,            0.073085,             0.12705,            0.012291,             0.58188,             0.36388,             0.35523,             0.17942,            0.068578,             0.11049,            0.011811,             0.00109,             0.00109,             0.00109
                  29,            0.073353,             0.12753,            0.011808,             0.57071,             0.36068,             0.36532,             0.18644,            0.068459,             0.10975,            0.011808,             0.00076,             0.00076,             0.00076
